Date,Open,High,Low,Close,EMAVG (9) on Close,"Moving Average(Simple,21,0)","MACD(12,26)",Sig(9),Diff,Volume,Daily Avg(5),Daily Accum Vol,Daily Accum Avg Vol
3/26/25 16:00,,,,,,,,,,,1229,,69040
3/26/25 15:00,,,,,,,,,,,1970,,67811
3/26/25 14:00,,,,,,,,,,,9218.7998,,65841
3/26/25 13:00,,,,,,,,,,,6285,,56622.1992
3/26/25 12:00,,,,,,,,,,,7298,,50337.1992
3/26/25 11:00,,,,,,,,,,,5659.7998,,43039.1992
3/26/25 10:00,,,,,,,,,,,10407.2002,,37379.3984
3/26/25 9:00,,,,,,,,,,,9231.4004,,26972.1992
3/26/25 8:00,3843,3843,3813,3822,3873,3876,-0.0113,-0.0072,-4,487,7614.6001,2636,17740.8008
3/26/25 7:00,3886,3886,3835,3844,3886,3879,-0.0064,-0.0062,-0.0001,712,3009.2,2149,10126.2002
3/26/25 6:00,3891,3894,3868,3886,3896,3883,-0.0025,-0.0062,0.0037,181,1278.8,1437,7117
3/26/25 5:00,3922,3922,3.89,3894,3899,3885,-0.0017,-0.0071,0.0054,107,674.2,1256,5838.2002
3/26/25 4:00,3.91,3.93,3.91,3922,3.9,3887,-0.0016,-0.0085,0.0069,151,653.8,1149,5164
3/26/25 3:00,3915,3915,3902,3.91,3895,3889,-0.0042,-0.0102,6,94,562.6,998,4510.2002
3/26/25 2:00,3887,3.92,3884,3917,3891,3891,-0.0063,-0.0117,0.0055,184,773.2,904,3947.6001
3/26/25 1:00,3883,3894,3881,3886,3885,3891,-0.0095,-0.0131,0.0036,75,259.4,720,3174.3999
3/26/25 0:00,3887,3888,3878,3884,3884,3893,-0.0104,-14,0.0036,43,221.4,645,2915
3/25/25 23:00,3892,3896,3877,3889,3884,3896,-0.0111,-0.0149,0.0037,27,455,602,2693.6001
3/25/25 22:00,3901,3905,3888,3895,3883,3896,-0.0125,-0.0158,0.0034,46,398,575,2238.6001
3/25/25 21:00,3882,3901,3878,3901,3.88,3898,-0.0146,-0.0167,0.0021,210,612.2,529,1840.6
3/25/25 20:00,3.88,3898,3876,3882,3875,3899,-0.0177,-0.0172,-0.0005,63,402.2,319,1228.4
3/25/25 19:00,3875,3908,3873,3.88,3873,3902,-0.0194,-0.0171,-0.0023,179,249.2,256,826.2
3/25/25 18:00,3866,3881,3857,3874,3871,3905,-0.0212,-0.0165,-0.0047,77,577,77,577
3/25/25 16:00,3849,3873,3849,3866,3.87,3906,-0.0225,-0.0153,-0.0071,364,1484.6,25857,80747.2031
3/25/25 15:00,3849,3859,3835,3847,3871,3908,-23,-0.0135,-0.0095,803,2319,25493,79262.6016
3/25/25 14:00,3805,3861,3796,3.85,3878,3.91,-0.0214,-0.0112,-0.0102,4329,10993.7998,24690,76943.6016
3/25/25 13:00,3.87,3.87,3797,3805,3884,3913,-0.0194,-0.0086,-0.0107,4789,6655.7998,20361,65949.7969
3/25/25 12:00,3874,3913,3852,3.87,3904,3918,-0.0119,-0.0059,-6,2506,7914.3999,15572,59294
3/25/25 11:00,3882,3893,3857,3872,3913,3.92,-0.0088,-0.0044,-0.0044,2507,6438.7998,13066,51379.6016
3/25/25 10:00,3929,3931,3879,3881,3923,3923,-5,-0.0033,-0.0016,2199,11707.4004,10559,44940.8008
3/25/25 9:00,3919,3968,3907,3.93,3934,3927,-0.0009,-0.0029,2,2120,11555,8360,33233.3984
3/25/25 8:00,3946,3.99,3916,3.92,3935,3928,-0.0007,-0.0034,0.0028,2548,9527.4004,6240,21678.4004
3/25/25 7:00,3955,3965,3933,3946,3938,3.93,0.0007,-0.0041,0.0048,1009,3557,3692,12151
3/25/25 6:00,3963,3972,3946,3956,3936,3931,-0.0003,-0.0053,5,459,1778.2,2683,8594
3/25/25 5:00,3928,3963,3925,3958,3931,3931,-0.0026,-0.0066,4,283,819.2,2224,6815.7998
3/25/25 4:00,3928,3938,3911,3929,3925,3929,-0.0056,-0.0076,2,260,851.8,1941,5996.6001
3/25/25 3:00,3932,3944,3.92,3927,3924,3929,-0.0065,-0.0081,0.0016,190,669.2,1681,5144.7998
3/25/25 2:00,3908,3941,3904,3.93,3923,3.93,-0.0072,-0.0085,0.0013,252,999.4,1491,4475.6001
3/25/25 1:00,3922,3.93,3904,3907,3921,3.93,-0.0084,-0.0088,0.0004,97,330,1239,3476.2
3/25/25 0:00,3939,3942,3915,3921,3925,3933,-0.0075,-0.0089,0.0014,132,234.4,1142,3146.2
3/24/25 23:00,3928,3944,3927,3937,3926,3935,-0.0077,-0.0093,0.0016,110,482.4,1010,2911.8
3/24/25 22:00,3947,3949,3927,3929,3923,3935,-0.0093,-0.0097,0.0003,160,405.8,900,2429.3999
3/24/25 21:00,3891,3949,3.89,3946,3921,3935,-0.0105,-0.0098,-0.0008,272,622,740,2023.6
3/24/25 20:00,3.91,3914,3885,3.89,3915,3935,-0.0137,-0.0096,-0.0041,133,470.2,468,1401.6
3/24/25 19:00,3906,3.93,3904,3908,3921,3936,-0.0117,-0.0086,-0.0032,191,267.6,335,931.4
3/24/25 18:00,3909,3911,3894,3907,3924,3937,-0.0109,-0.0078,-0.0032,144,663.8,144,663.8
3/24/25 16:00,3911,3921,3899,3905,3929,3937,-0.0097,-7,-0.0027,1037,1600.8,42574,91598.6016
3/24/25 15:00,3912,3923,3905,3.91,3935,3937,-0.0077,-0.0063,-0.0014,1423,2543.2,41537,89997.7969
3/24/25 14:00,3937,3946,3.9,3911,3941,3936,-0.0056,-0.0059,0.0004,4523,12590.4004,40114,87454.6016
3/24/25 13:00,3951,3957,3928,3938,3948,3938,-0.0029,-6,0.0031,2785,7331,35591,74864.2031
3/24/25 12:00,3.95,3961,3.93,3952,3951,3939,-0.0022,-0.0068,0.0046,3046,8848.2002,32806,67533.2031
3/24/25 11:00,3965,3985,3948,3953,3.95,3939,-0.0026,-8,0.0053,2927,6959.2002,29760,58685
3/24/25 10:00,3981,3991,3906,3965,3.95,3941,-0.0033,-0.0093,6,9332,11604.2002,26833,51725.8008
3/24/25 9:00,3938,4012,3938,3.98,3946,3941,-0.0053,-0.0108,0.0054,5344,13780.7998,17501,40121.6016
3/24/25 8:00,3927,3973,3906,3939,3937,3942,-0.0094,-0.0121,0.0028,4332,12382.4004,12157,26340.8008
3/24/25 7:00,3.93,3963,3909,3928,3937,3945,-0.0102,-0.0128,0.0026,1936,4023.2,7825,13958.4004
3/24/25 6:00,3935,3969,3928,3929,3939,3.95,-0.01,-0.0135,0.0034,934,1957,5889,9935.2002
3/24/25 5:00,3943,3946,3932,3935,3942,3953,-0.0097,-0.0143,0.0046,432,953.2,4955,7978.2002
3/24/25 4:00,3959,3966,3939,3944,3943,3952,-0.0098,-0.0155,0.0056,452,1092.6,4523,7025
3/24/25 3:00,3962,3.97,3.95,3959,3943,3.95,-0.0107,-0.0169,0.0062,344,834.4,4071,5932.3999
3/24/25 2:00,3936,3965,3936,3962,3939,3948,-0.0132,-0.0184,0.0052,799,1200.4,3727,5098
3/24/25 1:00,3937,3942,3933,3936,3934,3947,-0.0166,-0.0197,0.0032,196,409.6,2928,3897.6001
3/24/25 0:00,3938,3.94,3932,3938,3933,3945,-0.0179,-0.0205,0.0026,143,310.2,2732,3488
3/23/25 23:00,3927,3.94,3919,3936,3932,3943,-0.0196,-0.0212,0.0016,425,466,2589,3177.8
3/23/25 22:00,3927,3936,3924,3926,3931,3942,-0.0212,-0.0215,0.0003,265,453.2,2164,2711.8
3/23/25 21:00,3909,3927,3903,3926,3932,3941,-22,-0.0216,-0.0004,347,735.6,1899,2258.6001
3/23/25 20:00,3892,3.91,3.89,3908,3933,3941,-0.0227,-0.0215,-0.0012,216,529.6,1552,1523
3/23/25 19:00,3896,3896,3888,3892,3.94,3939,-0.0214,-0.0212,-0.0001,85,327.4,1336,993.4
3/23/25 18:00,3.88,3903,3862,3896,3952,3939,-0.0177,-0.0212,0.0035,1251,666,1251,666
3/21/25 16:00,3948,3971,3944,3964,3965,3941,-0.0133,-0.0221,0.0088,1233,1645.2,69418,97799.7969
